platform,video_id,channel,channel_id,title,date,views,likes,comments,duration,url,search_query,tags,description_snippet,channel_subscribers,title_clean,engagement_score,like_ratio,comment_ratio,is_viral,title_length,title_word_count,has_question,has_exclamation,title_caps_ratio,creator_tier,month,quarter,year_quarter,sentiment_compound,sentiment_pos,sentiment_neg,sentiment_label,top_keywords,competitors_mentioned,features_mentioned,mentions_competitor,ai_llm_content_category,ai_llm_sentiment,ai_llm_virality_potential,ai_llm_growth_type,ai_llm_target_audience,ai_llm_key_insight,classification_source
YouTube,PAtlYn8M4ag,CarterPCs,UCi7wDE2ZTiR5QYYrUY5WhtA,It’s time to switch from ChatGPT #carterpcs #tech #chatgpt #ai #claude,2026-03-04,3922070,135452,2739,PT34S,https://youtube.com/watch?v=PAtlYn8M4ag,Claude AI,,It’s time to switch from ChatGPT #carterpcs #tech #chatgpt #ai #claude,2240000,It’s time to switch from ChatGPT #carterpcs #tech #chatgpt #ai #claude,5331370,0.0345358445922688,0.0006983557152218,True,70,11,False,False,0.0714285714285714,Mega,3,1,2026Q1,0.0,0.0,0.0,Neutral,chatgpt|carterpcs|ai claude|ai|claude,ChatGPT,,True,comparison,positive,high,competitive,general,,openai
YouTube,h3AtWdeu_G0,Senator Bernie Sanders,UCD_DaKNac0Ta-2PeHuoQ1uA,Bernie vs. Claude,2026-03-19,3626297,191204,17857,PT9M18S,https://youtube.com/watch?v=h3AtWdeu_G0,Claude AI,bernie sanders|senate|senator|bernard sanders|congress,"I spoke to Anthropic’s AI agent Claude about AI collecting massive amounts of personal data and how that information is being used to violate our privacy rights.

What an AI agent says about the dange",1290000,Bernie vs. Claude,5895477,0.0527270656540266,0.0049243070824038,True,17,3,False,False,0.1176470588235294,Mega,3,1,2026Q1,0.0,0.0,0.0,Neutral,vs claude|vs|claude,,,False,comparison,neutral,medium,educational,general,,openai
YouTube,Aq1WyzeNdXY,Alberta Tech,UCkdgAA0rfK7lG5dv4o__Paw,Claude vs the US Government,2026-03-01,3299262,117473,2917,PT43S,https://youtube.com/watch?v=Aq1WyzeNdXY,Claude AI,,,417000,Claude vs the US Government,4532332,0.0356058415488069,0.0008841371191496,True,27,5,False,False,0.1481481481481481,Macro,3,1,2026Q1,0.0,0.0,0.0,Neutral,vs|claude,,,False,comparison,neutral,medium,educational,general,,openai
YouTube,mBHRPeg8zPU,Fireship,UCsBjURrPoezykLs9EqgamOA,Tragic mistake... Anthropic leaks Claude’s source code,2026-04-01,2682735,91890,4713,PT7M22S,https://youtube.com/watch?v=mBHRPeg8zPU,Claude AI,webdev|app development|lesson|tutorial|anthropic,"Anthropic accidentally leaked Claude Code's source code to the entire internet. Let's take a look...

#coding #programming #claude #ai

🔖 Topics Covered
- Claude source code leak
- What's in the leak?",4170000,Tragic mistake... Anthropic leaks Claude’s source code,3695895,0.0342523581345157,0.0017567892467947,True,54,7,False,False,0.0555555555555555,Mega,4,2,2026Q2,-0.4588,0.0,0.333,Negative,anthropic|code|claude,,,False,news,negative,medium,reactive,general,,openai
YouTube,PuntlO3wLUQ,CarterPCs,UCi7wDE2ZTiR5QYYrUY5WhtA,Which AI do I trust the most?? (Top 5 List) #carterpcs #tech #ai #chatgpt #claude,2026-03-19,2434874,110719,1987,PT42S,https://youtube.com/watch?v=PuntlO3wLUQ,Claude AI,,Which AI do I trust the most?? (Top 5 List) #carterpcs #tech #ai #chatgpt #claude,2240000,Which AI do I trust the most?? (Top 5 List) #carterpcs #tech #ai #chatgpt #claude,3581804,0.0454721681696876,0.0008160586543697,False,81,15,True,False,0.074074074074074,Mega,3,1,2026Q1,0.5661,0.234,0.0,Positive,ai|chatgpt|carterpcs|claude,ChatGPT,,True,comparison,neutral,medium,educational,general,,openai
YouTube,K4SX2dNQ7VU,CarterPCs,UCi7wDE2ZTiR5QYYrUY5WhtA,This AI is officially an enemy of the US government #ai #claude #anthropic #carterpcs #trump,2026-03-01,2138309,83950,2139,PT25S,https://youtube.com/watch?v=K4SX2dNQ7VU,Claude AI,,This AI is officially an enemy of the US government #ai #claude #anthropic #carterpcs #trump,2240000,This AI is officially an enemy of the US government #ai #claude #anthropic #carterpcs #trump,3020589,0.039259994696744,0.0010003231525471,False,92,15,False,False,0.0543478260869565,Mega,3,1,2026Q1,-0.5423,0.0,0.2,Negative,ai|carterpcs|anthropic|ai claude|claude,,,False,news,negative,medium,reactive,general,,openai
YouTube,ACE6FUTiuqk,Rookiechess,UC66p3oi4Ve3LDSE8kt6qkow,Grok vs Claude ( part 2 ) 🧠🔥 #chess  #chessedits,2026-03-19,1844020,0,805,PT24S,https://youtube.com/watch?v=ACE6FUTiuqk,Claude AI,chess|chess.com|chessedits,"Grok vs Claude but they DESTROYED chess completely 😭♟️
Funniest AI chess moments | AI vs AI battle | chess gone wrong 💀🔥

Grok: casually summons 5 rooks out of nowhere 💀
Claude: promotes a pawn… into ",16100,Grok vs Claude ( part 2 ) 🧠🔥 #chess #chessedits,1860120,0.0,0.0004365462413639,False,47,10,False,False,0.0425531914893617,Mid,3,1,2026Q1,0.0,0.0,0.0,Neutral,vs claude|vs|claude,Grok,,True,comparison,neutral,low,educational,general,,openai
YouTube,oltt1pIYtyY,FatherPhi,UCIw9p-0zI1rEPEs_SS6fDkg,Claude FAILS to spell numbers under 1000                     #ai #Claude,2026-03-07,1539477,34530,2871,PT1M23S,https://youtube.com/watch?v=oltt1pIYtyY,Claude AI,,"Vote for the next video here
👇👇👇
https://FatherPhi.com

For the weekly brief on accessible and practical Ai usage + updates on our latest mission join the newsletter
💌 https://master-of-ai.com

And si",132000,Claude FAILS to spell numbers under 1000 #ai #Claude,1942197,0.0224296952796306,0.0018649190601743,False,52,9,False,False,0.1346153846153846,Macro,3,1,2026Q1,-0.5473,0.0,0.306,Negative,ai claude|claude|ai,,,False,complaint,negative,medium,reactive,general,,openai
YouTube,Uc18mso08Ro,NetworkChuck,UC9x0AN7BWHpCDHSm9NiJFJQ,I Accidentally Turned Claude Into a Hacker...,2025-09-26,1240995,42732,546,PT58S,https://youtube.com/watch?v=Uc18mso08Ro,Claude AI,,,5200000,I Accidentally Turned Claude Into a Hacker...,1679235,0.0344336600872686,0.0004399695405702,False,45,7,False,False,0.1333333333333333,Mega,9,3,2025Q3,-0.34,0.0,0.375,Negative,claude,,,False,tutorial,neutral,low,educational,developers,,openai
YouTube,T2bd1kGEISo,Wanderloots,UCFiU1vIpPD3lQltke_18m3A,Optimized Vibecoding 💡 Google Antigravity + Claude Code + Testsprite #agent #ai #vibecoding,2025-12-18,1110217,37791,316,PT25S,https://youtube.com/watch?v=T2bd1kGEISo,Claude AI,,,73000,Optimized Vibecoding 💡 Google Antigravity + Claude Code + Testsprite #agent #ai #vibecoding,1494447,0.0340392914178039,0.0002846290409892,False,91,13,False,False,0.0769230769230769,Mid,12,4,2025Q4,0.4588,0.25,0.0,Positive,claude code|code|ai|claude,,Claude Code,False,showcase,positive,medium,organic,creators,,openai
