platform,video_id,channel,channel_id,title,date,views,likes,comments,duration,url,search_query,tags,description_snippet,channel_subscribers
YouTube,PAtlYn8M4ag,CarterPCs,UCi7wDE2ZTiR5QYYrUY5WhtA,It’s time to switch from ChatGPT #carterpcs #tech #chatgpt #ai #claude,2026-03-04,3922070,135452,2739,PT34S,https://youtube.com/watch?v=PAtlYn8M4ag,Claude AI,,It’s time to switch from ChatGPT #carterpcs #tech #chatgpt #ai #claude,2240000
YouTube,h3AtWdeu_G0,Senator Bernie Sanders,UCD_DaKNac0Ta-2PeHuoQ1uA,Bernie vs. Claude,2026-03-19,3626297,191204,17857,PT9M18S,https://youtube.com/watch?v=h3AtWdeu_G0,Claude AI,bernie sanders|senate|senator|bernard sanders|congress,"I spoke to Anthropic’s AI agent Claude about AI collecting massive amounts of personal data and how that information is being used to violate our privacy rights.

What an AI agent says about the dange",1290000
YouTube,Aq1WyzeNdXY,Alberta Tech,UCkdgAA0rfK7lG5dv4o__Paw,Claude vs the US Government,2026-03-01,3299262,117473,2917,PT43S,https://youtube.com/watch?v=Aq1WyzeNdXY,Claude AI,,,417000
YouTube,mBHRPeg8zPU,Fireship,UCsBjURrPoezykLs9EqgamOA,Tragic mistake... Anthropic leaks Claude’s source code,2026-04-01,2682735,91890,4713,PT7M22S,https://youtube.com/watch?v=mBHRPeg8zPU,Claude AI,webdev|app development|lesson|tutorial|anthropic,"Anthropic accidentally leaked Claude Code's source code to the entire internet. Let's take a look...

#coding #programming #claude #ai

🔖 Topics Covered
- Claude source code leak
- What's in the leak?",4170000
YouTube,PuntlO3wLUQ,CarterPCs,UCi7wDE2ZTiR5QYYrUY5WhtA,Which AI do I trust the most?? (Top 5 List) #carterpcs #tech #ai #chatgpt #claude,2026-03-19,2434874,110719,1987,PT42S,https://youtube.com/watch?v=PuntlO3wLUQ,Claude AI,,Which AI do I trust the most?? (Top 5 List) #carterpcs #tech #ai #chatgpt #claude,2240000
YouTube,K4SX2dNQ7VU,CarterPCs,UCi7wDE2ZTiR5QYYrUY5WhtA,This AI is officially an enemy of the US government #ai #claude #anthropic #carterpcs #trump,2026-03-01,2138309,83950,2139,PT25S,https://youtube.com/watch?v=K4SX2dNQ7VU,Claude AI,,This AI is officially an enemy of the US government #ai #claude #anthropic #carterpcs #trump,2240000
YouTube,ACE6FUTiuqk,Rookiechess,UC66p3oi4Ve3LDSE8kt6qkow,Grok vs Claude ( part 2 ) 🧠🔥 #chess  #chessedits,2026-03-19,1844020,0,805,PT24S,https://youtube.com/watch?v=ACE6FUTiuqk,Claude AI,chess|chess.com|chessedits,"Grok vs Claude but they DESTROYED chess completely 😭♟️
Funniest AI chess moments | AI vs AI battle | chess gone wrong 💀🔥

Grok: casually summons 5 rooks out of nowhere 💀
Claude: promotes a pawn… into ",16100
YouTube,oltt1pIYtyY,FatherPhi,UCIw9p-0zI1rEPEs_SS6fDkg,Claude FAILS to spell numbers under 1000                     #ai #Claude,2026-03-07,1539477,34530,2871,PT1M23S,https://youtube.com/watch?v=oltt1pIYtyY,Claude AI,,"Vote for the next video here
👇👇👇
https://FatherPhi.com

For the weekly brief on accessible and practical Ai usage + updates on our latest mission join the newsletter
💌 https://master-of-ai.com

And si",132000
YouTube,Uc18mso08Ro,NetworkChuck,UC9x0AN7BWHpCDHSm9NiJFJQ,I Accidentally Turned Claude Into a Hacker...,2025-09-26,1240995,42732,546,PT58S,https://youtube.com/watch?v=Uc18mso08Ro,Claude AI,,,5200000
YouTube,T2bd1kGEISo,Wanderloots,UCFiU1vIpPD3lQltke_18m3A,Optimized Vibecoding 💡 Google Antigravity + Claude Code + Testsprite #agent #ai #vibecoding,2025-12-18,1110217,37791,316,PT25S,https://youtube.com/watch?v=T2bd1kGEISo,Claude AI,,,73000
